6:0-52 3:65-105 1:106-164 5:165-199 4:201-253 2:260-305 
6:5-49 5:54-93 1:94-129 2:130-195 2:196-257 4:258-305 
3:6-47 5:48-96 1:97-159 6:160-205 4:206-250 2:254-305 
5:1-43 4:44-94 3:102-146 6:147-194 1:195-247 2:248-305 
4:0-45 1:51-111 5:112-177 3:178-178 3:179-254 6:255-305 
4:9-52 2:69-105 5:106-159 1:160-216 6:217-258 3:262-305 
2:3-52 4:55-104 3:105-154 6:155-203 1:204-252 5:253-305 
1:0-45 6:46-100 2:101-153 4:162-201 2:209-249 5:250-305 
2:5-49 5:50-98 1:101-148 2:149-200 4:201-243 6:256-305 
2:3-50 5:51-93 2:105-150 6:162-203 4:204-253 1:254-305 
2:3-46 1:47-101 3:115-156 6:159-210 5:211-264 4:265-305 
2:0-46 3:61-105 5:106-147 6:163-202 1:210-262 4:264-305 
5:0-39 4:53-86 3:87-151 1:152-195 6:196-251 3:258-305 
5:7-47 1:48-101 2:102-157 6:158-199 3:200-242 4:246-305 
2:0-56 6:57-102 3:103-142 4:157-198 1:203-261 5:262-305 
3:3-51 6:52-98 3:99-155 1:157-206 4:207-248 5:253-305 
6:2-49 4:50-94 2:95-153 5:154-198 3:199-248 1:253-305 
6:0-45 2:46-109 3:110-151 5:169-203 4:204-249 1:250-305 
1:0-54 5:55-96 2:99-155 3:157-201 4:205-252 6:260-305 
2:3-34 1:35-95 3:111-164 6:166-207 4:208-247 5:248-305 
1:1-41 6:54-105 2:106-153 4:154-201 5:203-246 2:247-305 
6:2-49 3:50-103 4:106-135 2:136-202 1:204-249 5:250-305 
6:4-54 2:55-98 1:103-150 3:151-190 4:201-245 5:253-305 
6:3-48 3:55-96 4:97-137 5:139-199 1:200-235 2:236-305 
3:6-46 5:47-111 4:112-166 1:167-196 6:197-253 2:264-305 
6:6-59 4:60-104 2:108-150 5:151-190 1:193-258 3:259-305 
4:0-40 6:53-100 2:111-147 5:148-194 1:196-253 3:254-305 
4:1-46 6:55-90 3:91-150 5:151-197 2:200-242 1:243-305 
1:9-48 6:49-102 4:104-141 2:142-213 3:214-249 5:250-305 
4:5-44 3:45-100 2:112-155 5:156-198 1:199-248 6:249-305 
